epoch,loader,view,view_count,group_samples,distinct_view_frame_ratio,delta_t_mean,delta_t_median,delta_t_p90,unique_pair_count,unique_pair_ratio,causal_violations,visibility_violations
1,train,A,6000,6000,1.0,82.6485,76.0,171.0,5839,0.9731666666666666,0,0
1,train,B,6000,6000,1.0,76.1525,66.0,167.0,5583,0.9305,0,0
1,train,C,6000,6000,1.0,79.7485,70.0,170.0,5709,0.9515,0,0
1,val,A,1496,1496,1.0,85.87633689839572,78.0,174.0,1490,0.9959893048128342,0,0
1,val,B,1496,1496,1.0,88.81483957219251,87.0,172.0,1487,0.9939839572192514,0,0
1,val,C,1496,1496,1.0,88.97660427807487,83.0,177.0,1493,0.9979946524064172,0,0
2,train,A,6000,6000,1.0,81.8245,73.5,170.0,5853,0.9755,0,0
2,train,B,6000,6000,1.0,78.44583333333334,68.0,171.0,5616,0.936,0,0
2,train,C,6000,6000,1.0,80.79866666666666,73.0,171.0,5741,0.9568333333333333,0,0
2,val,A,1496,1496,1.0,87.82553475935829,80.0,176.0,1489,0.9953208556149733,0,0
2,val,B,1496,1496,1.0,90.6524064171123,88.0,175.0,1491,0.9966577540106952,0,0
2,val,C,1496,1496,1.0,91.60695187165776,90.5,176.0,1490,0.9959893048128342,0,0
3,train,A,6000,6000,1.0,83.57166666666667,75.0,172.0,5853,0.9755,0,0
3,train,B,6000,6000,1.0,78.002,68.0,170.0,5583,0.9305,0,0
3,train,C,6000,6000,1.0,79.10216666666666,69.0,169.0,5714,0.9523333333333334,0,0
3,val,A,1496,1496,1.0,85.7927807486631,78.0,171.0,1492,0.9973262032085561,0,0
3,val,B,1496,1496,1.0,87.32419786096257,84.0,172.0,1491,0.9966577540106952,0,0
3,val,C,1496,1496,1.0,87.35160427807487,82.0,175.0,1491,0.9966577540106952,0,0
4,train,A,6000,6000,1.0,82.31133333333334,74.0,171.0,5850,0.975,0,0
4,train,B,6000,6000,1.0,78.127,69.0,169.0,5619,0.9365,0,0
4,train,C,6000,6000,1.0,79.82283333333334,71.0,168.0,5733,0.9555,0,0
4,val,A,1496,1496,1.0,86.5274064171123,80.5,173.0,1490,0.9959893048128342,0,0
4,val,B,1496,1496,1.0,88.1183155080214,82.0,173.0,1488,0.9946524064171123,0,0
4,val,C,1496,1496,1.0,88.23395721925134,82.0,175.0,1490,0.9959893048128342,0,0
5,train,A,6000,6000,1.0,81.73,73.0,171.0,5852,0.9753333333333334,0,0
5,train,B,6000,6000,1.0,78.37133333333334,67.0,171.0,5639,0.9398333333333333,0,0
5,train,C,6000,6000,1.0,79.6875,72.0,167.0,5724,0.954,0,0
5,val,A,1496,1496,1.0,86.67379679144385,79.0,177.0,1493,0.9979946524064172,0,0
5,val,B,1496,1496,1.0,91.3475935828877,88.0,175.0,1491,0.9966577540106952,0,0
5,val,C,1496,1496,1.0,89.79344919786097,88.0,176.0,1486,0.9933155080213903,0,0
6,train,A,6000,6000,1.0,81.58966666666667,73.0,170.0,5828,0.9713333333333334,0,0
6,train,B,6000,6000,1.0,78.27233333333334,69.0,170.0,5633,0.9388333333333333,0,0
6,train,C,6000,6000,1.0,78.689,69.0,168.0,5691,0.9485,0,0
6,val,A,1496,1496,1.0,85.1336898395722,75.0,173.0,1489,0.9953208556149733,0,0
6,val,B,1496,1496,1.0,85.95989304812834,80.0,170.0,1484,0.9919786096256684,0,0
6,val,C,1496,1496,1.0,88.62767379679144,83.0,175.0,1490,0.9959893048128342,0,0
7,train,A,6000,6000,1.0,81.80266666666667,73.0,171.0,5852,0.9753333333333334,0,0
7,train,B,6000,6000,1.0,78.0205,69.0,169.0,5591,0.9318333333333333,0,0
7,train,C,6000,6000,1.0,80.471,72.0,170.0,5724,0.954,0,0
7,val,A,1496,1496,1.0,86.09826203208556,80.0,173.0,1484,0.9919786096256684,0,0
7,val,B,1496,1496,1.0,90.68048128342247,88.0,176.0,1487,0.9939839572192514,0,0
7,val,C,1496,1496,1.0,86.79144385026738,80.0,171.0,1494,0.9986631016042781,0,0
8,train,A,6000,6000,1.0,80.89916666666667,74.0,169.0,5858,0.9763333333333334,0,0
8,train,B,6000,6000,1.0,77.36233333333334,66.0,169.0,5632,0.9386666666666666,0,0
8,train,C,6000,6000,1.0,79.43766666666667,71.0,170.0,5723,0.9538333333333333,0,0
8,val,A,1496,1496,1.0,87.0427807486631,79.5,176.0,1484,0.9919786096256684,0,0
8,val,B,1496,1496,1.0,88.3836898395722,83.0,171.0,1492,0.9973262032085561,0,0
8,val,C,1496,1496,1.0,89.62967914438502,85.5,174.0,1485,0.9926470588235294,0,0
9,train,A,6000,6000,1.0,82.428,74.0,171.0,5849,0.9748333333333333,0,0
9,train,B,6000,6000,1.0,77.82216666666666,67.0,169.0,5627,0.9378333333333333,0,0
9,train,C,6000,6000,1.0,79.56383333333333,72.0,167.0,5761,0.9601666666666666,0,0
9,val,A,1496,1496,1.0,86.52540106951872,80.0,173.0,1489,0.9953208556149733,0,0
9,val,B,1496,1496,1.0,90.24398395721926,86.0,175.0,1485,0.9926470588235294,0,0
9,val,C,1496,1496,1.0,90.94050802139037,87.0,179.0,1481,0.9899732620320856,0,0
10,train,A,6000,6000,1.0,82.35483333333333,73.0,172.0,5841,0.9735,0,0
10,train,B,6000,6000,1.0,77.786,67.0,170.0,5599,0.9331666666666667,0,0
10,train,C,6000,6000,1.0,80.4165,72.5,169.0,5724,0.954,0,0
10,val,A,1496,1496,1.0,85.19852941176471,78.0,168.0,1488,0.9946524064171123,0,0
10,val,B,1496,1496,1.0,87.49866310160428,80.0,176.0,1483,0.9913101604278075,0,0
10,val,C,1496,1496,1.0,88.06483957219251,81.0,174.0,1488,0.9946524064171123,0,0
11,train,A,6000,6000,1.0,83.342,75.0,172.0,5857,0.9761666666666666,0,0
11,train,B,6000,6000,1.0,79.207,69.0,171.0,5618,0.9363333333333334,0,0
11,train,C,6000,6000,1.0,78.793,69.0,168.0,5707,0.9511666666666667,0,0
11,val,A,1496,1496,1.0,85.70521390374331,77.0,176.0,1487,0.9939839572192514,0,0
11,val,B,1496,1496,1.0,87.42312834224599,81.0,175.0,1486,0.9933155080213903,0,0
11,val,C,1496,1496,1.0,88.68516042780749,84.0,176.0,1491,0.9966577540106952,0,0
12,train,A,6000,6000,1.0,82.84783333333333,75.0,172.0,5821,0.9701666666666666,0,0
12,train,B,6000,6000,1.0,79.12683333333334,70.0,171.0,5608,0.9346666666666666,0,0
12,train,C,6000,6000,1.0,79.56983333333334,70.0,170.0,5731,0.9551666666666667,0,0
12,val,A,1496,1496,1.0,83.59625668449198,77.0,174.0,1488,0.9946524064171123,0,0
12,val,B,1496,1496,1.0,91.2586898395722,88.0,177.0,1488,0.9946524064171123,0,0
12,val,C,1496,1496,1.0,88.58957219251337,84.0,174.0,1489,0.9953208556149733,0,0
13,train,A,6000,6000,1.0,81.33783333333334,73.0,170.0,5852,0.9753333333333334,0,0
13,train,B,6000,6000,1.0,76.77033333333334,66.0,168.0,5598,0.933,0,0
13,train,C,6000,6000,1.0,79.7505,71.0,169.0,5712,0.952,0,0
13,val,A,1496,1496,1.0,85.73395721925134,78.0,172.0,1487,0.9939839572192514,0,0
13,val,B,1496,1496,1.0,87.4605614973262,83.0,173.0,1485,0.9926470588235294,0,0
13,val,C,1496,1496,1.0,85.38836898395722,78.0,172.0,1489,0.9953208556149733,0,0
14,train,A,6000,6000,1.0,82.8385,74.0,172.0,5845,0.9741666666666666,0,0
14,train,B,6000,6000,1.0,78.4485,68.0,171.0,5660,0.9433333333333334,0,0
14,train,C,6000,6000,1.0,81.06116666666667,73.0,171.0,5710,0.9516666666666667,0,0
14,val,A,1496,1496,1.0,87.79344919786097,81.0,176.0,1485,0.9926470588235294,0,0
14,val,B,1496,1496,1.0,87.01069518716578,80.0,172.0,1491,0.9966577540106952,0,0
14,val,C,1496,1496,1.0,86.55147058823529,82.0,171.0,1483,0.9913101604278075,0,0
15,train,A,6000,6000,1.0,83.329,76.0,170.0,5819,0.9698333333333333,0,0
15,train,B,6000,6000,1.0,77.76733333333334,68.0,169.0,5641,0.9401666666666667,0,0
15,train,C,6000,6000,1.0,78.677,69.0,168.0,5692,0.9486666666666667,0,0
15,val,A,1496,1496,1.0,87.67513368983957,81.0,173.0,1488,0.9946524064171123,0,0
15,val,B,1496,1496,1.0,89.1029411764706,83.0,175.0,1490,0.9959893048128342,0,0
15,val,C,1496,1496,1.0,86.69986631016043,81.0,174.0,1489,0.9953208556149733,0,0
16,train,A,6000,6000,1.0,85.098,77.0,172.0,5850,0.975,0,0
16,train,B,6000,6000,1.0,78.29833333333333,68.0,169.0,5601,0.9335,0,0
16,train,C,6000,6000,1.0,80.37033333333333,70.0,170.0,5727,0.9545,0,0
16,val,A,1496,1496,1.0,86.45187165775401,79.0,174.0,1487,0.9939839572192514,0,0
16,val,B,1496,1496,1.0,86.58622994652407,82.0,169.0,1488,0.9946524064171123,0,0
16,val,C,1496,1496,1.0,86.8970588235294,81.0,172.0,1488,0.9946524064171123,0,0
17,train,A,6000,6000,1.0,82.58533333333334,74.0,171.0,5860,0.9766666666666667,0,0
17,train,B,6000,6000,1.0,77.57066666666667,67.0,170.0,5602,0.9336666666666666,0,0
17,train,C,6000,6000,1.0,80.41016666666667,73.0,169.0,5743,0.9571666666666667,0,0
17,val,A,1496,1496,1.0,87.2072192513369,82.0,170.0,1485,0.9926470588235294,0,0
17,val,B,1496,1496,1.0,89.92780748663101,86.0,176.0,1487,0.9939839572192514,0,0
17,val,C,1496,1496,1.0,88.44050802139037,84.0,175.0,1491,0.9966577540106952,0,0
18,train,A,6000,6000,1.0,81.554,74.0,170.0,5841,0.9735,0,0
18,train,B,6000,6000,1.0,79.8025,71.0,171.0,5633,0.9388333333333333,0,0
18,train,C,6000,6000,1.0,79.50183333333334,70.0,169.0,5722,0.9536666666666667,0,0
18,val,A,1496,1496,1.0,85.100935828877,78.5,170.0,1491,0.9966577540106952,0,0
18,val,B,1496,1496,1.0,85.23262032085562,80.0,170.0,1489,0.9953208556149733,0,0
18,val,C,1496,1496,1.0,85.54211229946524,79.0,173.0,1489,0.9953208556149733,0,0
19,train,A,6000,6000,1.0,82.674,74.0,171.0,5857,0.9761666666666666,0,0
19,train,B,6000,6000,1.0,78.9685,70.0,170.0,5614,0.9356666666666666,0,0
19,train,C,6000,6000,1.0,79.894,72.0,169.0,5708,0.9513333333333334,0,0
19,val,A,1496,1496,1.0,84.23328877005348,74.5,171.0,1483,0.9913101604278075,0,0
19,val,B,1496,1496,1.0,92.29545454545455,89.0,175.0,1489,0.9953208556149733,0,0
19,val,C,1496,1496,1.0,86.31149732620321,79.0,173.0,1488,0.9946524064171123,0,0
20,train,A,6000,6000,1.0,83.1965,75.0,172.0,5835,0.9725,0,0
20,train,B,6000,6000,1.0,76.987,66.0,168.0,5603,0.9338333333333333,0,0
20,train,C,6000,6000,1.0,79.524,71.0,169.0,5723,0.9538333333333333,0,0
20,val,A,1496,1496,1.0,85.15441176470588,79.0,172.0,1488,0.9946524064171123,0,0
20,val,B,1496,1496,1.0,89.46791443850267,84.5,175.0,1487,0.9939839572192514,0,0
20,val,C,1496,1496,1.0,90.25200534759358,83.5,179.0,1488,0.9946524064171123,0,0
21,train,A,6000,6000,1.0,83.64766666666667,77.0,171.0,5848,0.9746666666666667,0,0
21,train,B,6000,6000,1.0,77.8345,68.0,170.0,5603,0.9338333333333333,0,0
