group_type,group,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,gt_oracle
receiver_view,A,both,5,0.6262515268522241,0.8132678544068298,0.8587401331223141,0.7099631574517905,-0.0011080227659836517,False
receiver_view,A,local,5,0.6273595496182077,0.8138822422167505,0.8576098389022105,0.7109411579494871,0.0,False
receiver_view,A,oof_selector,5,0.6278372362567032,0.8139903380052473,0.8575453721367816,0.7114219121799543,0.0004776866384954559,False
receiver_view,A,oracle_4,5,0.6377937181076501,0.8175268935915531,0.8624034493666587,0.7237231217144912,0.010434168489442341,True
receiver_view,A,oracle_single,5,0.6374155347900025,0.8175268935915531,0.8624034493666587,0.7232544844339344,0.010055985171794735,True
receiver_view,A,sender0_only,5,0.6261062552794598,0.8149498509230199,0.8577363316382319,0.7096622693813297,-0.001253294338747879,False
receiver_view,A,sender1_only,5,0.6266785101228727,0.8128904959162637,0.8585949755167507,0.7102398516353162,-0.0006810394953350452,False
receiver_view,B,both,5,0.6131056601431716,0.8091384744845908,0.7411370876620917,0.626170655326982,-2.18425639213482e-05,False
receiver_view,B,local,5,0.6131275027070929,0.8035425638915289,0.7383747176925123,0.6267259757024823,0.0,False
receiver_view,B,oof_selector,5,0.6142436308490122,0.8081030991610358,0.7439097240233341,0.6279547742288877,0.0011161281419193037,False
receiver_view,B,oracle_4,5,0.631157458225257,0.812470234134256,0.7588576280011355,0.6454323611935336,0.01802995551816411,True
receiver_view,B,oracle_single,5,0.63076465465506,0.812470234134256,0.7590149644895012,0.6449743106788001,0.01763715194796711,True
receiver_view,B,sender0_only,5,0.611106510841573,0.8073920112029718,0.7441619369283037,0.6238391812024597,-0.002020991865519961,False
receiver_view,B,sender1_only,5,0.6126199767634217,0.8086530202055278,0.7359463009302039,0.6260128949591927,-0.0005075259436712054,False
receiver_view,C,both,5,0.706757263586114,0.9058423820144237,0.8889493001526088,0.7376673266923897,0.0006750394429424489,False
receiver_view,C,local,5,0.7060822241431716,0.9047103065427254,0.8907916803399221,0.7368106559779799,0.0,False
receiver_view,C,oof_selector,5,0.7068309710753671,0.9062197405049897,0.8918610702977858,0.737765511155089,0.0007487469321955098,False
receiver_view,C,oracle_4,5,0.7221604403085673,0.9069744574861218,0.9020089408279478,0.7544557574388469,0.01607821616539573,True
receiver_view,C,oracle_single,5,0.7213399967865004,0.9065970989955557,0.9015688968235473,0.7537041627888452,0.015257772643328837,True
receiver_view,C,sender0_only,5,0.7047569883730469,0.9054650235238576,0.8894229671700936,0.7354621888499325,-0.0013252357701246664,False
receiver_view,C,sender1_only,5,0.7079214306324308,0.9054650235238576,0.8894548089315837,0.7391029815030566,0.0018392064892592819,False
